element_id,line_load,load_case,load_direction,load_group,group_name,eccentricity
56,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
57,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
57,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
58,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
58,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
59,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
59,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
60,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
60,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
61,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
61,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
62,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
62,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
63,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
63,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
64,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
64,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
65,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
65,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
66,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
66,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
67,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
67,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
68,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
68,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
69,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
69,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
70,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
70,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
71,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
71,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
72,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
72,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
73,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
73,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
74,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
74,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
75,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
75,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
76,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
76,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
77,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
77,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
78,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
78,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
79,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
79,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
80,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
80,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
81,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
81,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
82,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
82,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
83,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
83,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
84,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
84,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
85,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
85,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
86,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
86,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
87,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
87,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
88,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
88,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
89,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
89,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
90,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
90,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
91,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
91,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
92,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
92,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
93,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
93,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
94,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
94,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
95,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
95,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
96,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
96,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
97,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
97,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
98,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
98,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
99,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
99,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
100,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
100,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
101,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
101,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
102,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
